index,ID,Review URL,Text,Star,Thumbs Up,User Name,Developer Reply,Version,Review Date,App ID,Cleaned Reviews
4663,312953,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGwMdHwRarRqzoa-qsQd98rj1TkrrKzmLnC9Ic38i4w0PLmTMs3C_1XkGkf7XvnohEYCUYlQHIJDnuszlo,😄😃☺😉😁😌 Good Luck To U 🎄,1,0,Satish Satish. Lone,nan,74.0.3729.157,2021-02-08,com.android.chrome,good luck u
4688,312978,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFHMglaM_iLOiBpUySmX62P7VRQhCHMRU_319nk2AHa5A7PqQLYL83-HcBWWlSKdnZmZJ1uYujc1V27ZSU,Thx for the tabs,1,0,Imre Jenei,nan,88.0.4324.93,2021-02-08,com.android.chrome,thx tab
4778,325719,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGPXeX_6y2cgYN57WNAaG-qKaL-VxPaAjJxWYqHZTuowpM0FK355fXw19uoGYfY28Qspov94x5qhK6DBWw,Free mb,1,0,Hamid Saif,nan,84.0.4147.89,2021-02-09,com.android.chrome,free mb
4808,325749,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOG0sgbIybzzuFONgHG5uAJxn5T-w6u295RSTvZRMX-iGyz6VFP5nrIgEgiJt6Qx2OtLsNtSi86NVjPLfWQ,Best,1,0,Rahul Singh,nan,83.0.4103.106,2021-02-09,com.android.chrome,best
5128,390951,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEm0FG760iaiYu74HUtGyOXCfyqDXbfCHErPvsAEocBwqyYAVayB10L0HjWvZeeuYghw1Uef0gZd7KPy2M,Good,1,0,Asha Kumari Ashakumari1,nan,86.0.4240.185,2021-02-13,com.android.chrome,good
5170,390993,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFsRouarIGx29opUJaJIp08SXhIMj3CLcuLkUSlwHphAyFLWzTcXCmM5IRD-G1wiz1g3nmz23fLp6ycytE,Super,1,0,Dilki Hapugolla,nan,86.0.4240.110,2021-02-13,com.android.chrome,super
5275,392799,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHcqtvnp-YtUNQ2dAACBdr9Uc1slgmXNwk-BqYhyji6sHP-KLhS0GsZAAAZZRLEdW2PA7d30lY4CuSrSCA,Nice,1,0,khan anas,nan,nan,2021-02-14,com.android.chrome,nice
5566,444303,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOExorhDre-0MPRY9GKDLgpyPHatXmTyTlc7xWpjSn8xPgGyA74nhSFvTUtJgV_3kQdb3gEP70wAfGQsoOg,Super,1,0,Vishal Rao,nan,80.0.3987.99,2021-02-17,com.android.chrome,super
5598,444335,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEpMpNs7eWN4MBI2BUSNY3ENNjKiwEfuck7Rxe2Sg6qP2OxZsULCdlQjuleAcfQnGXajWuUhTWP9g7L61E,good,1,0,Ashish Pawariya,nan,85.0.4183.101,2021-02-17,com.android.chrome,good
5606,444344,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOF5sI7fBkIw2SVH_GNbiA81ISpxofQEeCyeWwmlWBganJshQnPHXyWDoXqP6iRHESB5K2dWMipXsKSUCc0,Always freezes and I don't support those who need with free speech,1,0,K soul,nan,88.0.4324.152,2021-02-17,com.android.chrome,always freeze support need free speech
5723,476345,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOG9hQVUiVz9LmhQE9lanLV8_ha9M41EZUQDDGLheYflNzbko-U8msj-XXiKXLSTNywXUcuSYmzwtLTb0Lo,Better,1,0,Leeann Villafuerte,nan,81.0.4044.138,2021-02-19,com.android.chrome,better
5767,476371,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGPmuI55EaKe1sV21X59fQfPE8K4RkfPYXAT-YhY6jPO-5mqL8dsjZd5hKSJlz60nEmsdsIsrK8IqIrGyA,Good,1,0,Ankur Official,nan,83.0.4103.101,2021-02-19,com.android.chrome,good
5850,482343,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGekYnEZ4bl_PNd0qSWBLP8kN6QRaLRnjeRD-gSJ3D1W5q3U9hk4XUIu_mR7QgJ2Y9YB7-Uj673r69KCeY,I can't update it plz help me out,1,0,Swapnendu Kumar,nan,86.0.4240.185,2021-02-20,com.android.chrome,update plz help
5871,482364,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGqyCgqz5CZSgy9kx5FEmozdSeXB6cqXq_V0c5OrASYgjREbUtcZVPwJ5j9RMVsoQGuWVegiAfm3ag8src,Very good,1,0,Naseemah Petersen,nan,26.0.1410.58,2021-02-20,com.android.chrome,good
5944,504417,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOF10vVWIn3K4gLLS8SXiYNsDmyMn0HoYOgGLPCmyMQY-GlW-7d-bsbgbG4scyZ5NWNyP_w33ZoDtIWdio8,Good,1,0,Toxickozi,nan,87.0.4280.101,2021-02-21,com.android.chrome,good
6122,527938,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOE05PiysrPr84bS5I-mFRGW0pFb7xRwmK2S7epZHVwKUUR0LZeS0ucBxa8hn8YjtzquciIBUUqfMZp5apM,good,1,0,SUMIT VEER,nan,76.0.3809.132,2021-02-23,com.android.chrome,good
6159,527976,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOE3PZiQRGSgm27AjgABL1p8NniaN1DmsPVznvUgMWIG5WNURe2B5uIlgEV_R44XR1cpXYCGtCoNdI6SjuE,Very nice 👌👌😊👌👌👌👌👌👌👌👌👌👌👌👌 you have you,1,0,Param Bhatt,nan,68.0.3440.91,2021-02-23,com.android.chrome,nice
